id,author,downloads,likes,params_billions,tensor_types,storage_gb,architecture,model_type,library_name,gated,lastModified
Menlo/mini-Ichigo-llama3.2-3B-s-base,Menlo,19,1,3.21,BF16,6.0,LlamaForCausalLM,llama,,False,2024-11-19T12:19:19.000Z
thucdangvan020999/ultravox_llama32_1b_reasoning_finetuning,thucdangvan020999,19,1,0.68,BF16,1.29,UltravoxModel,ultravox,transformers,False,2025-05-28T09:19:14.000Z
ReopenAI/Qwen2.5-14B-SeamlessV2,ReopenAI,18,2,15.41,BF16,28.71,Qwen2MMForConditionalGeneration,qwen2_mm,,False,2025-08-28T10:14:56.000Z
dofbi/wolof-asr,dofbi,17,0,0.24,F32,4.49,WhisperForConditionalGeneration,whisper,,False,2024-12-01T06:56:46.000Z
danchev/gemma-3-4b-it-q4_0,danchev,17,0,0,,2.94,,,transformers,False,2025-04-03T18:48:04.000Z
Gapeleon/Voxtral-Small-24B-2507,Gapeleon,16,0,24.26,"F32, BF16",45.21,VoxtralForConditionalGeneration,voxtral,vllm,False,2025-08-05T07:16:07.000Z
Felguk/Felguk-omni-v0,Felguk,15,2,0,,0,BertForQuestionAnswering,bert,transformers,False,2025-01-19T06:54:37.000Z
fuyingw/MELP_Encoder,fuyingw,15,0,0.07,BF16,0.12,MELPEncoderModel,melp,transformers,False,2025-09-18T05:03:13.000Z
mispeech/midashenglm-7b-0804-w4a16-gptq,mispeech,15,0,2.62,"I64, I32, BF16",6.42,MiDashengLMModel,midashenglm,,False,2025-10-31T02:15:09.000Z
bigdefence/Bigvox-Exaone4-Audio,bigdefence,12,1,1.93,F16,4.36,OmniSpeechExaoneForCausalLM,omni_speech_exaone,,False,2025-08-23T22:02:30.000Z
FriendliAI/ultravox-v0_6-llama-3_3-70b,FriendliAI,12,0,0.7,BF16,135.56,UltravoxModel,ultravox,transformers,False,2025-10-10T04:50:10.000Z
cobrayyxx/nllb-indo-en,cobrayyxx,11,0,0.62,F32,29.84,M2M100ForConditionalGeneration,m2m_100,transformers,False,2025-02-09T11:17:40.000Z
beita6969/deepseek-r1-medical-response,beita6969,11,2,8.03,BF16,30.11,LlamaForCausalLM,llama,transformers,False,2025-02-18T18:00:56.000Z
beita6969/DeepSeek-R1-Distill-Qwen-32B-Medical,beita6969,11,6,32.76,BF16,61.1,Qwen2ForCausalLM,qwen2,transformers,False,2025-02-24T11:31:53.000Z
YirongSun/LLaSO-Base-3.8B-Instruct,YirongSun,11,2,4.26,BF16,7.93,LlavaLlamaForCausalLM,llava_llama,transformers,False,2025-08-25T08:11:46.000Z
mispeech/midashenglm-7b-0804-4bit-bnb,mispeech,11,0,8.28,"F32, BF16, U8",5.81,MiDashengLMModel,midashenglm,,False,2025-10-20T05:44:07.000Z
FriendliAI/ultravox-v0_3,FriendliAI,10,1,8.06,BF16,69.38,UltravoxModel,ultravox,transformers,False,2025-03-19T07:37:26.000Z
KE-Team/Ke-Omni-R-3B,KE-Team,10,22,4.7,BF16,8.77,Qwen2_5OmniThinkerForConditionalGeneration,qwen2_5_omni_thinker,,False,2025-06-16T09:52:32.000Z
bigdefence/Bigvox-HyperCLOVAX-Audio,bigdefence,10,1,1.22,F16,5.56,OmniSpeechHyperCLOVAXForCausalLM,omni_speech_HyperCLOVAX,,False,2025-08-23T22:02:45.000Z
Yi3852/MuFun-ABC,Yi3852,10,0,8.92,BF16,33.24,TinyLlavaForConditionalGeneration,tinyllava,,False,2025-08-21T07:00:09.000Z
Yi3852/MuFun-Base,Yi3852,9,2,8.92,BF16,16.62,TinyLlavaForConditionalGeneration,tinyllava,,False,2025-08-09T11:00:20.000Z
eustlb/parakeet-ctc-1.1b,eustlb,9,0,1.06,F32,3.96,ParakeetForCTC,parakeet_ctc,transformers,False,2025-09-23T17:51:02.000Z
jaiswalraj/ultravox-llama-finetuned,jaiswalraj,9,0,0.69,BF16,1.3,UltravoxModel,ultravox,transformers,False,2025-10-06T13:35:29.000Z
cobrayyxx/whisper-small-indo-transcription,cobrayyxx,8,0,0.24,F32,0.9,WhisperForConditionalGeneration,whisper,transformers,False,2025-01-11T14:19:13.000Z
AtAndDev/UVOX-96k-Llama-32-3B-Instruct,AtAndDev,8,0,0.05,BF16,0.29,UltravoxModel,ultravox,transformers,False,2025-10-25T03:49:44.000Z
bigdefence/Bigvox-Midm-Audio,bigdefence,7,1,2.96,F16,6.41,OmniSpeechMidmForCausalLM,omni_speech_midm,,False,2025-08-23T22:03:15.000Z
AtAndDev/UVOX-50k-Llama-3.2-1B-Instruct,AtAndDev,7,0,0.05,BF16,0.27,UltravoxModel,ultravox,transformers,False,2025-10-21T04:07:31.000Z
AtAndDev/UVOX-12k-Llama-32-3B-Instruct,AtAndDev,7,0,0.05,BF16,0.29,UltravoxModel,ultravox,transformers,False,2025-10-23T03:45:20.000Z
govnejri/Estimin3n,govnejri,6,0,8.39,BF16,14.66,Gemma3nForConditionalGeneration,gemma3n,transformers,False,2025-10-02T12:34:01.000Z
AtAndDev/UVOX-95k-Llama-3.2-1B-Instruct,AtAndDev,6,0,0.05,BF16,0.29,UltravoxModel,ultravox,transformers,False,2025-10-21T13:20:06.000Z
AtAndDev/UVOX-40k-Llama-32-3B-Instruct,AtAndDev,6,0,0.05,BF16,0.29,UltravoxModel,ultravox,transformers,False,2025-10-23T19:13:22.000Z
